X,Y,Z
3.527960702776908875e-01,7.543627720326184782e-01,1.466583943367004483e+00
3.524862758817587371e-01,8.100529737094455118e-01,1.466990917004030059e+00
3.521749695708786820e-01,8.660149648358888008e-01,1.467399876827808258e+00
3.518636632599986824e-01,9.219769559623319788e-01,1.467808836651586457e+00
3.515523569491186828e-01,9.779389470887751568e-01,1.468217796475364656e+00
3.512410506382386277e-01,1.033900938215218446e+00,1.468626756299142633e+00
3.509297443273586281e-01,1.089862929341661291e+00,1.469035716122920832e+00
3.506184380164785730e-01,1.145824920468104802e+00,1.469444675946699030e+00
3.628138110816022666e-01,1.199523694844732979e+00,1.451628317446642891e+00
3.584458825339379984e-01,1.251432426058542324e+00,1.448449338350739080e+00
3.504406827438160121e-01,1.301191057850324073e+00,1.441875553299060142e+00
3.395779065828809506e-01,1.345372865721583322e+00,1.433392675352169965e+00
3.262093784998476576e-01,1.385814389443529304e+00,1.423235217889285975e+00
2.948605071273185940e-01,1.424362729117274240e+00,1.431932212318971054e+00
3.098544594465557633e-01,1.386004249236889141e+00,1.445159046268876146e+00
3.228195115763529688e-01,1.343844541884005706e+00,1.456757544015556904e+00
3.336766851217959906e-01,1.295297185364430614e+00,1.466664147404574736e+00
3.409715792251879485e-01,1.243412177674115826e+00,1.473711866662742453e+00
3.439216974540668659e-01,1.189479663633845830e+00,1.477272483425920990e+00
3.435893372340803054e-01,1.134959690197820059e+00,1.478198638131521525e+00
3.429969980147708486e-01,1.080438696911431906e+00,1.478916137194370650e+00
3.424062049290910736e-01,1.025917860172541607e+00,1.479631598645962942e+00
3.418102144732290126e-01,9.713969281953683810e-01,1.480344910169773875e+00
3.412142240173670071e-01,9.168759962181952661e-01,1.481058221693584809e+00
3.406182335615050016e-01,8.623550642410219291e-01,1.481771533217395520e+00
3.400222431056428851e-01,8.078341322638488142e-01,1.482484844741206675e+00
3.394265096102085377e-01,7.543627720326184782e-01,1.483198363040101553e+00
3.156114466619173164e-01,7.543627720326184782e-01,1.510192865605342272e+00
3.162579077731300092e-01,8.097642970718277322e-01,1.509529933387323997e+00
3.169051295298581650e-01,8.669978897643874083e-01,1.508867694590379172e+00
3.175523512865863207e-01,9.242314824569470844e-01,1.508205455793434568e+00
3.181995730433145320e-01,9.814650751495066494e-01,1.507543216996489743e+00
3.184565624261680439e-01,1.038717481805905063e+00,1.507280943643894089e+00
3.190816020506874739e-01,1.095951566532514132e+00,1.506617875327106670e+00
3.197066416752069040e-01,1.153185651259123201e+00,1.505954807010319252e+00
3.189982417868924003e-01,1.212678434668483796e+00,1.504399474457628338e+00
3.135641210786728750e-01,1.273012523225928394e+00,1.497945113639951753e+00
3.035329293655579797e-01,1.329320112662073505e+00,1.487090100276601268e+00
2.899020725163013457e-01,1.379666418259716032e+00,1.473126159233810295e+00
2.734318139415349846e-01,1.424278825185015362e+00,1.457429910731017131e+00
2.564016709868146560e-01,1.461150954291224435e+00,1.441242347061211682e+00
2.148556771311768698e-01,1.494721616699557387e+00,1.446622599941463028e+00
2.320327783731446214e-01,1.461150954291224435e+00,1.465780291198120366e+00
2.487497587485225925e-01,1.421408425451924584e+00,1.484457208307791598e+00
2.641856339121912978e-01,1.375026742550721215e+00,1.501795783192768852e+00
2.775051989997059931e-01,1.320863180944509496e+00,1.516923922328600849e+00
2.845639756915174234e-01,1.263514390057014269e+00,1.529369751220510665e+00
2.887831446131462476e-01,1.200286047007285806e+00,1.535394930883922759e+00
2.886227645282551380e-01,1.140366356384243440e+00,1.536557751819068507e+00
2.880210857334895014e-01,1.084873775626946868e+00,1.537084041402858148e+00
2.874194069387239203e-01,1.029381194869650296e+00,1.537610330986647789e+00
2.868177281439582837e-01,9.738886141123539453e-01,1.538136620570437207e+00
2.862160493491927582e-01,9.183960333550573729e-01,1.538662910154226848e+00
2.851165335482949148e-01,8.628718686498143553e-01,1.539599514437431926e+00
2.844984910100258335e-01,8.073797654015436587e-01,1.540092287961768003e+00
2.838812579581680429e-01,7.543627720326184782e-01,1.540586006323967805e+00
2.481616800898609754e-01,7.543627720326184782e-01,1.569266165310970518e+00
2.487540413165806041e-01,8.061126392661573936e-01,1.568853224853151485e+00
2.493473530568537933e-01,8.608367711978948122e-01,1.568441543080940637e+00
2.499406647971268713e-01,9.155609031296321199e-01,1.568029861308729567e+00
2.496684475695773731e-01,9.703344531495093905e-01,1.568257823950383711e+00
2.502403329295316281e-01,1.025059107182154428e+00,1.567836239189932535e+00
2.508122182894857444e-01,1.079783761214799354e+00,1.567414654429481580e+00
2.513841036494399717e-01,1.134508415247444502e+00,1.566993069669030403e+00
2.515279824001614983e-01,1.191560996195823119e+00,1.566409221803516827e+00
2.481191401645268524e-01,1.257943398228980492e+00,1.560562796399884933e+00
2.398309901393441690e-01,1.321083345416462551e+00,1.548061647664720430e+00
2.277055404331514432e-01,1.378202852183081362e+00,1.530327219630804647e+00
2.132885079396691086e-01,1.427535894990525245e+00,1.509467523077273166e+00
1.982965518942828853e-01,1.467717197627400161e+00,1.487823687131600625e+00
1.832521372514811508e-01,1.501087565123568668e+00,1.466108355212970560e+00
1.688372269272804260e-01,1.527916143462061838e+00,1.445940709114074796e+00
1.229770934211144584e-01,1.550468284584124445e+00,1.447750141630946397e+00
1.360735715703229043e-01,1.525791084110286633e+00,1.470567130386349453e+00
1.504440334065946239e-01,1.494100962561629720e+00,1.495483611749231834e+00
1.651066100502509015e-01,1.455012304215184571e+00,1.520881844776723391e+00
1.790722065495917448e-01,1.408599697328554168e+00,1.545131348177706476e+00
1.919694453409618862e-01,1.351192950757490907e+00,1.567619605412408301e+00
2.016369346193630507e-01,1.286132419448908770e+00,1.584786816297735657e+00
2.069484737559441623e-01,1.210647387359296667e+00,1.594773641139005216e+00
2.064883589772906203e-01,1.146327621939537966e+00,1.596744940047839512e+00
