X,Y,Z
1.959999990463256792e+00,4.569803376057033489e-02,1.689267631593251107e+00
1.959999990463256792e+00,6.251284332541322264e-02,1.736012201742169303e+00
1.959999990463256792e+00,7.661089070435794790e-02,1.784001413948032244e+00
1.959999990463256792e+00,8.833256719317292283e-02,1.836055163593195871e+00
1.959999990463256792e+00,9.711747027708335367e-02,1.889690982127747221e+00
1.959999990463256792e+00,1.025317440469170061e-01,1.944418955699150686e+00
1.959999990463256792e+00,1.042053623279191044e-01,2.000000000000000000e+00
1.959999990463256792e+00,1.025317440469170061e-01,2.055581044300849314e+00
1.959999990463256792e+00,9.711747387244240581e-02,2.110309021402432705e+00
1.959999990463256792e+00,8.833257794031751375e-02,2.163944829333797060e+00
1.959999990463256792e+00,7.661089070435794790e-02,2.215998586051967756e+00
1.959999990463256792e+00,6.251288818074794695e-02,2.263987768961140290e+00
1.959999990463256792e+00,4.569803376057033489e-02,2.310732368406748893e+00
1.959999990463256792e+00,-6.329221169377842807e-04,2.410329991853709775e+00
1.959999990463256792e+00,1.982719078660011292e-02,2.370729207992553711e+00
1.959999990463256792e+00,3.981010830820422286e-02,2.325562628236494511e+00
1.959999990463256792e+00,5.420536233291906036e-02,2.276064872686486495e+00
1.959999990463256792e+00,5.420536233291906036e-02,2.220851898149188930e+00
1.959999990463256792e+00,5.420536233291906036e-02,2.165638923611891808e+00
1.959999990463256792e+00,5.420536233291906036e-02,2.110425949074594687e+00
1.959999990463256792e+00,5.420536233291906036e-02,2.055212974537297121e+00
1.959999990463256792e+00,5.420536233291906036e-02,2.000000000000000000e+00
1.959999990463256792e+00,5.420536233291906036e-02,1.944787025462702656e+00
1.959999990463256792e+00,5.420536233291906036e-02,1.889574050925405535e+00
1.959999990463256792e+00,5.420536233291906036e-02,1.834361076388108192e+00
1.959999990463256792e+00,5.420536233291906036e-02,1.779148101850811070e+00
1.959999990463256792e+00,5.420536233291906036e-02,1.723935127313513727e+00
1.959999990463256792e+00,3.981010830820422286e-02,1.674437371763505711e+00
1.959999990463256792e+00,1.982719078660011292e-02,1.629270792007446289e+00
1.959999990463256792e+00,-6.330141474516076672e-04,1.589669954042042255e+00
1.959999990463256792e+00,-4.102772263161098831e-02,1.523156030072625233e+00
1.959999990463256792e+00,-1.858234591782093048e-02,1.558296203613281250e+00
1.959999990463256792e+00,4.069242800883245831e-03,1.598434182076758470e+00
1.959999990463256792e+00,4.205362337919016369e-03,1.651916014590362414e+00
1.959999990463256792e+00,4.205362337919016369e-03,1.705467406131021324e+00
1.959999990463256792e+00,4.205362337919016369e-03,1.759018797671680012e+00
1.959999990463256792e+00,4.205362337919016369e-03,1.812570189212338923e+00
1.959999990463256792e+00,4.205362337919016369e-03,1.866121580752997833e+00
1.959999990463256792e+00,4.205362337919016369e-03,1.919672972293656521e+00
