X,Y,Z
-1.199999999999999956e+00,7.499999996959534343e-01,2.000000000023766322e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.947368421086923984e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.894736842150081868e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.842105263213239752e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.789473684276397636e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.736842105339555520e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.684210526402713404e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.631578947465871288e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.578947368529029394e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.526315789592187055e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.473684210655345161e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.421052631718502823e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.368421052781660929e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.315789473844818591e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.263157894907976697e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.210526315971134359e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.157894737034292465e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.105263158097450349e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.052631579160608233e+00
-1.199999999999999956e+00,7.499999996959534343e-01,1.000000000223766117e+00
-1.199999999999999956e+00,7.499999996959534343e-01,9.473684212869242227e-01
-1.199999999999999956e+00,7.499999996959534343e-01,8.947368423500818846e-01
-1.199999999999999956e+00,7.499999996959534343e-01,8.421052634132397685e-01
-1.199999999999999956e+00,7.499999996959534343e-01,7.894736844763976524e-01
-1.199999999999999956e+00,7.499999996959534343e-01,7.368421055395555364e-01
-1.199999999999999956e+00,7.499999996959534343e-01,6.842105266027134203e-01
-1.199999999999999956e+00,7.499999996959534343e-01,6.315789476658715262e-01
-1.199999999999999956e+00,7.499999996959534343e-01,5.789473687290294102e-01
-1.199999999999999956e+00,7.499999996959534343e-01,5.263157897921870720e-01
-1.199999999999999956e+00,7.499999996959534343e-01,4.736842108553449560e-01
-1.199999999999999956e+00,7.499999996959534343e-01,4.210526319185028399e-01
-1.199999999999999956e+00,7.499999996959534343e-01,3.684210529816607238e-01
-1.199999999999999956e+00,7.499999996959534343e-01,3.157894740448188298e-01
